Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
head_Link,-0.0316308800745438,-0.0201163910709366,-0.0262089109234053,0,0,0,6.25801420197803,0.0145027216672559,-0.00318939729565846,1.17015951276295E-08,0.0183783760377612,1.59186112010851E-05,0.0175391291385689,0,0,0,0,0,0,package://realbots29/meshes/head_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://realbots29/meshes/head_Link.STL,,上身-头部-1/头部10关节支架-1;上身-头部-1/0424头-1,head_link,head_joint,head_joint,revolute,0.0264851311752161,-2.10276936655589E-05,0.13153589651845,0,1.5707963267949,0,neck_Link,0,0,-1,0,0,-0.17,0.17,,,,,,,,
head_camera_Link,0.000365253452993288,1.32341121378277E-05,-0.00839179295464204,0,0,0,0.0230825049326663,2.79434592963155E-06,-2.5026206054929E-09,1.22971692394737E-09,1.45623711338683E-05,-1.1202145422448E-10,1.59686974459062E-05,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link.STL,,上身-头部-1/S56-3D-1,head_camera_link,head_camera_joint,head_camera_joint,fixed,-0.0170073681953132,-0.0654102927525515,-0.0265092183336943,0,-1.57079545154985,2.30288372341022,head_Link,0,0,0,,,,,,,,,,,,
head_camera_Link1,-0.0296356279267107,3.85038040603969E-05,-0.0175849458605222,0,0,0,0.0230825049326663,2.79434592963155E-06,-2.50262060549281E-09,1.22971692394744E-09,1.45623711338683E-05,-1.1202145422448E-10,1.59686974459062E-05,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link1.STL,,上身-头部-1/S56-3D-1,head_camera_link1,head_camera_joint1,head_camera_joint1,fixed,0.030000881379704,-2.52696919224027E-05,0.00919315290587996,0,0,0,head_camera_Link,0,0,0,,,,,,,,,,,,
head_camera_Link2,0.0303609925956365,1.7813231273367E-06,-0.0175809458605222,0,0,0,0.0230825049326663,2.79434592963155E-06,-2.50262060549303E-09,1.22971692394752E-09,1.45623711338683E-05,-1.12021454224903E-10,1.59686974459062E-05,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/head_camera_Link2.STL,,上身-头部-1/S56-3D-1,head_camera_link2,head_camera_joint2,head_camera_joint2,fixed,-0.0299957391426432,1.14527890106575E-05,0.00918915290588002,0,0,0,head_camera_Link,0,0,0,,,,,,,,,,,,
right_head_camera_Link,-0.000144444361884266,-5.91014569918391E-05,-0.0189121827897489,0,0,0,0.107684776542734,1.04741775306772E-05,3.88485213042487E-08,2.18475773411992E-07,1.0482074389585E-05,8.75998188986727E-08,9.75396871158967E-06,0,0,0,0,0,0,package://realbots29/meshes/right_head_camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/right_head_camera_Link.STL,,上身-头部-1/shw5g_20260120132138a733 (1)-2,right_head_camera_link,right_head_camera_joint,right_head_camera_joint,fixed,-0.0330520314158379,0.00750085082489535,-0.0855401331383327,-3.14159265358979,-0.818916654945453,0.287216237345023,head_Link,0,0,0,,,,,,,,,,,,
left_head_camera_Link,0.000147122186897053,-5.14444401253922E-05,-0.018912090727024,0,0,0,0.10768589591519,1.04386890045708E-05,7.83474356803563E-10,-2.21891383109498E-07,1.0517302297787E-05,7.92099978542184E-08,9.75350758767799E-06,0,0,0,0,0,0,package://realbots29/meshes/left_head_camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/left_head_camera_Link.STL,,上身-头部-1/shw5g_20260120132138a733 (1)-1,left_head_camera_link,left_head_camera_joint,left_head_camera_joint,fixed,-0.0330520606878958,0.00750162709080108,0.0325213583636825,0,-0.818917169802546,-2.85437437267398,head_Link,0,0,0,,,,,,,,,,,,
right_arm_1_Link,0.000120591394055902,0.00377888321553915,-0.0389593852119257,0,0,0,0.573647924649606,0.00121158572175109,2.70621316464498E-06,3.66291593440465E-06,0.00132340312319395,9.39525165200714E-05,0.000666738222015525,0,0,0,0,0,0,package://realbots29/meshes/right_arm_1_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_1_Link.STL,,右臂-urdf-1/连杆1-1-1,right_arm_1_link,right_arm_1_joint,right_arm_1_joint,revolute,-0.1975,0,-0.2975,3.14159265358979,1.5707963267949,0,chest_Link,0,0,1,0,0,-3.05,3.05,,,,,,,,
right_arm_2_Link,0.000624248231195168,-0.0737709969220331,0.00429674013665208,0,0,0,2.37251274205793,0.00938446423414956,-1.20652635143033E-05,-1.07083590741597E-05,0.00271070738099595,0.00116386861210701,0.00863027986448708,0,0,0,0,0,0,package://realbots29/meshes/right_arm_2_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_2_Link.STL,,右臂-urdf-1/R2-1;右臂-urdf-1/R2-1-1,right_arm_2_link,right_arm_2_joint,right_arm_2_joint,revolute,0,0,0,1.5707963267949,-1.5707963267949,0,right_arm_1_Link,0,0,1,0,0,-0.26,3.05,,,,,,,,
right_arm_3_Link,-1.05141928871383E-06,-0.00172038684373854,-0.0407020267636179,0,0,0,1.63593073969523,0.00384603673544223,3.78819759732484E-09,-1.41391321145374E-09,0.0038711467096466,-0.000144918327683814,0.00104684673798558,0,0,0,0,0,0,package://realbots29/meshes/right_arm_3_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_3_Link.STL,,右臂-urdf-1/R3-1,right_arm_3_link,right_arm_3_joint,right_arm_3_joint,revolute,0,-0.291999999999941,0,1.57079632679523,1.5707963267949,0,right_arm_2_Link,0,0,-1,0,0,-3.05,3.05,,,,,,,,
right_arm_4_Link,-4.59844261067226E-07,0.0670956859646233,0.00366950588609358,0,0,0,1.42339486419965,0.00317639823084213,-1.29504647414444E-08,-3.92264879364251E-09,0.00118528782225181,-0.000301601189119656,0.00282282054482124,0,0,0,0,0,0,package://realbots29/meshes/right_arm_4_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_4_Link.STL,,右臂-urdf-1/R4-1;右臂-urdf-1/R2-2-1,right_arm_4_link,right_arm_4_joint,right_arm_4_joint,revolute,0,0,0,1.5707963267949,0,0,right_arm_3_Link,0,0,1,0,0,-1.83,1.83,,,,,,,,
